Checkpoint: ./baseline/checkpoints/best.pt
Data directory: ./colliderml-data
Output directory: classifier_output/baseline
Epoch 001 | train_loss=0.509428 | val_loss=0.502004 | train_acc=0.7871 | val_acc=0.7800
Epoch 002 | train_loss=0.501023 | val_loss=0.493147 | train_acc=0.7937 | val_acc=0.7967
Epoch 003 | train_loss=0.493046 | val_loss=0.484794 | train_acc=0.7983 | val_acc=0.8033
Epoch 004 | train_loss=0.485494 | val_loss=0.476943 | train_acc=0.8029 | val_acc=0.8167
Epoch 005 | train_loss=0.478359 | val_loss=0.469586 | train_acc=0.8083 | val_acc=0.8233
Epoch 006 | train_loss=0.471629 | val_loss=0.462711 | train_acc=0.8146 | val_acc=0.8333
Epoch 007 | train_loss=0.465283 | val_loss=0.456294 | train_acc=0.8204 | val_acc=0.8433
Epoch 008 | train_loss=0.459297 | val_loss=0.450312 | train_acc=0.8246 | val_acc=0.8500
Epoch 009 | train_loss=0.453644 | val_loss=0.444736 | train_acc=0.8250 | val_acc=0.8567
Epoch 010 | train_loss=0.448300 | val_loss=0.439536 | train_acc=0.8267 | val_acc=0.8567
Epoch 011 | train_loss=0.443244 | val_loss=0.434685 | train_acc=0.8296 | val_acc=0.8567
Epoch 012 | train_loss=0.438455 | val_loss=0.430157 | train_acc=0.8300 | val_acc=0.8533
Epoch 013 | train_loss=0.433917 | val_loss=0.425926 | train_acc=0.8317 | val_acc=0.8533
Epoch 014 | train_loss=0.429615 | val_loss=0.421971 | train_acc=0.8338 | val_acc=0.8533
Epoch 015 | train_loss=0.425536 | val_loss=0.418272 | train_acc=0.8346 | val_acc=0.8500
Epoch 016 | train_loss=0.421669 | val_loss=0.414813 | train_acc=0.8358 | val_acc=0.8500
Epoch 017 | train_loss=0.418006 | val_loss=0.411576 | train_acc=0.8367 | val_acc=0.8567
Epoch 018 | train_loss=0.414537 | val_loss=0.408547 | train_acc=0.8375 | val_acc=0.8600
Epoch 019 | train_loss=0.411254 | val_loss=0.405713 | train_acc=0.8388 | val_acc=0.8667
Epoch 020 | train_loss=0.408151 | val_loss=0.403062 | train_acc=0.8400 | val_acc=0.8633
Epoch 021 | train_loss=0.405220 | val_loss=0.400580 | train_acc=0.8413 | val_acc=0.8600
Epoch 022 | train_loss=0.402454 | val_loss=0.398256 | train_acc=0.8433 | val_acc=0.8633
Epoch 023 | train_loss=0.399845 | val_loss=0.396080 | train_acc=0.8429 | val_acc=0.8667
Epoch 024 | train_loss=0.397386 | val_loss=0.394040 | train_acc=0.8446 | val_acc=0.8633
Epoch 025 | train_loss=0.395069 | val_loss=0.392125 | train_acc=0.8458 | val_acc=0.8600
Epoch 026 | train_loss=0.392885 | val_loss=0.390326 | train_acc=0.8475 | val_acc=0.8600
Epoch 027 | train_loss=0.390827 | val_loss=0.388632 | train_acc=0.8492 | val_acc=0.8567
Epoch 028 | train_loss=0.388885 | val_loss=0.387035 | train_acc=0.8504 | val_acc=0.8567
Epoch 029 | train_loss=0.387051 | val_loss=0.385527 | train_acc=0.8504 | val_acc=0.8567
Epoch 030 | train_loss=0.385319 | val_loss=0.384100 | train_acc=0.8512 | val_acc=0.8567
Epoch 031 | train_loss=0.383680 | val_loss=0.382750 | train_acc=0.8517 | val_acc=0.8567
Epoch 032 | train_loss=0.382128 | val_loss=0.381469 | train_acc=0.8521 | val_acc=0.8600
Epoch 033 | train_loss=0.380657 | val_loss=0.380255 | train_acc=0.8517 | val_acc=0.8600
Epoch 034 | train_loss=0.379262 | val_loss=0.379102 | train_acc=0.8512 | val_acc=0.8600
Epoch 035 | train_loss=0.377938 | val_loss=0.378008 | train_acc=0.8529 | val_acc=0.8600
Epoch 036 | train_loss=0.376680 | val_loss=0.376970 | train_acc=0.8525 | val_acc=0.8600
Epoch 037 | train_loss=0.375485 | val_loss=0.375985 | train_acc=0.8529 | val_acc=0.8633
Epoch 038 | train_loss=0.374350 | val_loss=0.375050 | train_acc=0.8537 | val_acc=0.8633
Epoch 039 | train_loss=0.373270 | val_loss=0.374164 | train_acc=0.8529 | val_acc=0.8633
Epoch 040 | train_loss=0.372243 | val_loss=0.373323 | train_acc=0.8537 | val_acc=0.8633
Epoch 041 | train_loss=0.371266 | val_loss=0.372525 | train_acc=0.8533 | val_acc=0.8633
Epoch 042 | train_loss=0.370336 | val_loss=0.371767 | train_acc=0.8533 | val_acc=0.8633
Epoch 043 | train_loss=0.369450 | val_loss=0.371047 | train_acc=0.8533 | val_acc=0.8633
Epoch 044 | train_loss=0.368605 | val_loss=0.370362 | train_acc=0.8542 | val_acc=0.8667
Epoch 045 | train_loss=0.367798 | val_loss=0.369711 | train_acc=0.8550 | val_acc=0.8700
Epoch 046 | train_loss=0.367029 | val_loss=0.369090 | train_acc=0.8558 | val_acc=0.8733
Epoch 047 | train_loss=0.366293 | val_loss=0.368497 | train_acc=0.8554 | val_acc=0.8767
Epoch 048 | train_loss=0.365589 | val_loss=0.367931 | train_acc=0.8554 | val_acc=0.8767
Epoch 049 | train_loss=0.364915 | val_loss=0.367389 | train_acc=0.8558 | val_acc=0.8767
Epoch 050 | train_loss=0.364270 | val_loss=0.366871 | train_acc=0.8558 | val_acc=0.8767
Epoch 051 | train_loss=0.363651 | val_loss=0.366374 | train_acc=0.8567 | val_acc=0.8767
Epoch 052 | train_loss=0.363058 | val_loss=0.365897 | train_acc=0.8575 | val_acc=0.8767
Epoch 053 | train_loss=0.362489 | val_loss=0.365440 | train_acc=0.8587 | val_acc=0.8767
Epoch 054 | train_loss=0.361943 | val_loss=0.365000 | train_acc=0.8600 | val_acc=0.8767
Epoch 055 | train_loss=0.361419 | val_loss=0.364578 | train_acc=0.8604 | val_acc=0.8767
Epoch 056 | train_loss=0.360915 | val_loss=0.364172 | train_acc=0.8604 | val_acc=0.8767
Epoch 057 | train_loss=0.360432 | val_loss=0.363781 | train_acc=0.8604 | val_acc=0.8767
Epoch 058 | train_loss=0.359967 | val_loss=0.363405 | train_acc=0.8604 | val_acc=0.8767
Epoch 059 | train_loss=0.359520 | val_loss=0.363043 | train_acc=0.8604 | val_acc=0.8767
Epoch 060 | train_loss=0.359090 | val_loss=0.362694 | train_acc=0.8600 | val_acc=0.8767
Epoch 061 | train_loss=0.358676 | val_loss=0.362357 | train_acc=0.8604 | val_acc=0.8767
Epoch 062 | train_loss=0.358278 | val_loss=0.362032 | train_acc=0.8604 | val_acc=0.8767
Epoch 063 | train_loss=0.357894 | val_loss=0.361719 | train_acc=0.8604 | val_acc=0.8767
Epoch 064 | train_loss=0.357524 | val_loss=0.361416 | train_acc=0.8604 | val_acc=0.8767
Epoch 065 | train_loss=0.357167 | val_loss=0.361123 | train_acc=0.8612 | val_acc=0.8767
Epoch 066 | train_loss=0.356823 | val_loss=0.360840 | train_acc=0.8612 | val_acc=0.8767
Epoch 067 | train_loss=0.356491 | val_loss=0.360566 | train_acc=0.8617 | val_acc=0.8767
Epoch 068 | train_loss=0.356170 | val_loss=0.360301 | train_acc=0.8617 | val_acc=0.8767
Epoch 069 | train_loss=0.355861 | val_loss=0.360043 | train_acc=0.8621 | val_acc=0.8767
Epoch 070 | train_loss=0.355562 | val_loss=0.359794 | train_acc=0.8625 | val_acc=0.8767
Epoch 071 | train_loss=0.355273 | val_loss=0.359551 | train_acc=0.8625 | val_acc=0.8767
Epoch 072 | train_loss=0.354993 | val_loss=0.359315 | train_acc=0.8625 | val_acc=0.8767
Epoch 073 | train_loss=0.354723 | val_loss=0.359085 | train_acc=0.8633 | val_acc=0.8767
Epoch 074 | train_loss=0.354461 | val_loss=0.358861 | train_acc=0.8642 | val_acc=0.8767
Epoch 075 | train_loss=0.354208 | val_loss=0.358642 | train_acc=0.8642 | val_acc=0.8767
Epoch 076 | train_loss=0.353963 | val_loss=0.358429 | train_acc=0.8642 | val_acc=0.8767
Epoch 077 | train_loss=0.353726 | val_loss=0.358220 | train_acc=0.8646 | val_acc=0.8767
Epoch 078 | train_loss=0.353496 | val_loss=0.358016 | train_acc=0.8642 | val_acc=0.8767
Epoch 079 | train_loss=0.353272 | val_loss=0.357816 | train_acc=0.8642 | val_acc=0.8767
Epoch 080 | train_loss=0.353056 | val_loss=0.357620 | train_acc=0.8642 | val_acc=0.8767
Epoch 081 | train_loss=0.352846 | val_loss=0.357427 | train_acc=0.8646 | val_acc=0.8767
Epoch 082 | train_loss=0.352641 | val_loss=0.357239 | train_acc=0.8654 | val_acc=0.8767
Epoch 083 | train_loss=0.352443 | val_loss=0.357053 | train_acc=0.8654 | val_acc=0.8767
Epoch 084 | train_loss=0.352250 | val_loss=0.356871 | train_acc=0.8654 | val_acc=0.8767
Epoch 085 | train_loss=0.352063 | val_loss=0.356693 | train_acc=0.8658 | val_acc=0.8767
Epoch 086 | train_loss=0.351880 | val_loss=0.356517 | train_acc=0.8671 | val_acc=0.8767
Epoch 087 | train_loss=0.351703 | val_loss=0.356345 | train_acc=0.8671 | val_acc=0.8767
Epoch 088 | train_loss=0.351530 | val_loss=0.356176 | train_acc=0.8671 | val_acc=0.8767
Epoch 089 | train_loss=0.351362 | val_loss=0.356009 | train_acc=0.8671 | val_acc=0.8767
Epoch 090 | train_loss=0.351197 | val_loss=0.355845 | train_acc=0.8671 | val_acc=0.8767
Epoch 091 | train_loss=0.351037 | val_loss=0.355684 | train_acc=0.8671 | val_acc=0.8767
Epoch 092 | train_loss=0.350881 | val_loss=0.355525 | train_acc=0.8671 | val_acc=0.8767
Epoch 093 | train_loss=0.350729 | val_loss=0.355369 | train_acc=0.8667 | val_acc=0.8767
