Running linear probe for: no_rotation
Experiment: no_rotation
Checkpoint: ./no_rotation/checkpoints/best.pt
Data directory: ./colliderml-data
Output directory: classifier_output/no_rotation
Epoch 001 | train_loss=0.497982 | val_loss=0.494524 | train_acc=0.8004 | val_acc=0.8200
Epoch 002 | train_loss=0.490229 | val_loss=0.487742 | train_acc=0.8096 | val_acc=0.8167
Epoch 003 | train_loss=0.482856 | val_loss=0.481297 | train_acc=0.8146 | val_acc=0.8200
Epoch 004 | train_loss=0.475859 | val_loss=0.475165 | train_acc=0.8200 | val_acc=0.8200
Epoch 005 | train_loss=0.469229 | val_loss=0.469331 | train_acc=0.8246 | val_acc=0.8233
Epoch 006 | train_loss=0.462949 | val_loss=0.463788 | train_acc=0.8321 | val_acc=0.8333
Epoch 007 | train_loss=0.457007 | val_loss=0.458526 | train_acc=0.8321 | val_acc=0.8367
Epoch 008 | train_loss=0.451386 | val_loss=0.453538 | train_acc=0.8358 | val_acc=0.8400
Epoch 009 | train_loss=0.446070 | val_loss=0.448816 | train_acc=0.8375 | val_acc=0.8467
Epoch 010 | train_loss=0.441043 | val_loss=0.444350 | train_acc=0.8392 | val_acc=0.8467
Epoch 011 | train_loss=0.436290 | val_loss=0.440130 | train_acc=0.8388 | val_acc=0.8467
Epoch 012 | train_loss=0.431795 | val_loss=0.436144 | train_acc=0.8400 | val_acc=0.8467
Epoch 013 | train_loss=0.427543 | val_loss=0.432382 | train_acc=0.8413 | val_acc=0.8467
Epoch 014 | train_loss=0.423520 | val_loss=0.428831 | train_acc=0.8446 | val_acc=0.8433
Epoch 015 | train_loss=0.419713 | val_loss=0.425483 | train_acc=0.8471 | val_acc=0.8400
Epoch 016 | train_loss=0.416110 | val_loss=0.422327 | train_acc=0.8483 | val_acc=0.8433
Epoch 017 | train_loss=0.412700 | val_loss=0.419354 | train_acc=0.8462 | val_acc=0.8433
Epoch 018 | train_loss=0.409474 | val_loss=0.416555 | train_acc=0.8479 | val_acc=0.8467
Epoch 019 | train_loss=0.406422 | val_loss=0.413922 | train_acc=0.8479 | val_acc=0.8467
Epoch 020 | train_loss=0.403534 | val_loss=0.411449 | train_acc=0.8483 | val_acc=0.8467
Epoch 021 | train_loss=0.400804 | val_loss=0.409126 | train_acc=0.8483 | val_acc=0.8500
Epoch 022 | train_loss=0.398223 | val_loss=0.406946 | train_acc=0.8500 | val_acc=0.8500
Epoch 023 | train_loss=0.395784 | val_loss=0.404903 | train_acc=0.8496 | val_acc=0.8500
Epoch 024 | train_loss=0.393479 | val_loss=0.402988 | train_acc=0.8508 | val_acc=0.8500
Epoch 025 | train_loss=0.391300 | val_loss=0.401194 | train_acc=0.8517 | val_acc=0.8500
Epoch 026 | train_loss=0.389241 | val_loss=0.399512 | train_acc=0.8521 | val_acc=0.8500
Epoch 027 | train_loss=0.387295 | val_loss=0.397937 | train_acc=0.8529 | val_acc=0.8500
