Running linear probe for: no_energy_noise
Experiment: no_energy_noise
Checkpoint: ./no_energy_noise/checkpoints/best.pt
Data directory: ./colliderml-data
Output directory: classifier_output/no_energy_noise
Epoch 001 | train_loss=0.678400 | val_loss=0.649040 | train_acc=0.5896 | val_acc=0.6100
Epoch 002 | train_loss=0.662643 | val_loss=0.634361 | train_acc=0.6154 | val_acc=0.6367
Epoch 003 | train_loss=0.647419 | val_loss=0.620207 | train_acc=0.6421 | val_acc=0.6600
Epoch 004 | train_loss=0.632738 | val_loss=0.606582 | train_acc=0.6633 | val_acc=0.6733
Epoch 005 | train_loss=0.618602 | val_loss=0.593488 | train_acc=0.6821 | val_acc=0.6867
Epoch 006 | train_loss=0.605014 | val_loss=0.580925 | train_acc=0.7004 | val_acc=0.7167
Epoch 007 | train_loss=0.591974 | val_loss=0.568891 | train_acc=0.7179 | val_acc=0.7400
Epoch 008 | train_loss=0.579477 | val_loss=0.557377 | train_acc=0.7325 | val_acc=0.7467
Epoch 009 | train_loss=0.567518 | val_loss=0.546376 | train_acc=0.7442 | val_acc=0.7567
Epoch 010 | train_loss=0.556088 | val_loss=0.535876 | train_acc=0.7529 | val_acc=0.7667
Epoch 011 | train_loss=0.545177 | val_loss=0.525864 | train_acc=0.7675 | val_acc=0.7700
Epoch 012 | train_loss=0.534771 | val_loss=0.516324 | train_acc=0.7771 | val_acc=0.7767
Epoch 013 | train_loss=0.524858 | val_loss=0.507242 | train_acc=0.7842 | val_acc=0.7800
Epoch 014 | train_loss=0.515421 | val_loss=0.498602 | train_acc=0.7900 | val_acc=0.7867
Epoch 015 | train_loss=0.506447 | val_loss=0.490387 | train_acc=0.7987 | val_acc=0.7900
Epoch 016 | train_loss=0.497919 | val_loss=0.482582 | train_acc=0.8054 | val_acc=0.7933
Epoch 017 | train_loss=0.489821 | val_loss=0.475171 | train_acc=0.8096 | val_acc=0.8033
Epoch 018 | train_loss=0.482136 | val_loss=0.468137 | train_acc=0.8154 | val_acc=0.8067
Epoch 019 | train_loss=0.474850 | val_loss=0.461464 | train_acc=0.8225 | val_acc=0.8000
Epoch 020 | train_loss=0.467944 | val_loss=0.455137 | train_acc=0.8267 | val_acc=0.8000
Epoch 021 | train_loss=0.461404 | val_loss=0.449138 | train_acc=0.8317 | val_acc=0.8033
Epoch 022 | train_loss=0.455211 | val_loss=0.443452 | train_acc=0.8329 | val_acc=0.8033
Epoch 023 | train_loss=0.449351 | val_loss=0.438062 | train_acc=0.8354 | val_acc=0.8067
Epoch 024 | train_loss=0.443807 | val_loss=0.432953 | train_acc=0.8375 | val_acc=0.8100
Epoch 025 | train_loss=0.438563 | val_loss=0.428109 | train_acc=0.8396 | val_acc=0.8033
Epoch 026 | train_loss=0.433603 | val_loss=0.423515 | train_acc=0.8404 | val_acc=0.8133
Epoch 027 | train_loss=0.428911 | val_loss=0.419156 | train_acc=0.8425 | val_acc=0.8233
Epoch 028 | train_loss=0.424473 | val_loss=0.415018 | train_acc=0.8438 | val_acc=0.8300
Epoch 029 | train_loss=0.420274 | val_loss=0.411088 | train_acc=0.8438 | val_acc=0.8367
Epoch 030 | train_loss=0.416300 | val_loss=0.407353 | train_acc=0.8454 | val_acc=0.8367
Epoch 031 | train_loss=0.412537 | val_loss=0.403801 | train_acc=0.8471 | val_acc=0.8400
Epoch 032 | train_loss=0.408973 | val_loss=0.400420 | train_acc=0.8504 | val_acc=0.8467
Epoch 033 | train_loss=0.405594 | val_loss=0.397200 | train_acc=0.8517 | val_acc=0.8467
Epoch 034 | train_loss=0.402389 | val_loss=0.394132 | train_acc=0.8537 | val_acc=0.8433
Epoch 035 | train_loss=0.399348 | val_loss=0.391206 | train_acc=0.8546 | val_acc=0.8467
Epoch 036 | train_loss=0.396460 | val_loss=0.388414 | train_acc=0.8558 | val_acc=0.8467
Epoch 037 | train_loss=0.393716 | val_loss=0.385749 | train_acc=0.8562 | val_acc=0.8500
