Running linear probe for: energy_noise_010
Experiment: energy_noise_010
Checkpoint: ./energy_noise_010/checkpoints/best.pt
Data directory: ./colliderml-data
Output directory: classifier_output/energy_noise_010
Epoch 001 | train_loss=0.677902 | val_loss=0.679537 | train_acc=0.6092 | val_acc=0.6467
Epoch 002 | train_loss=0.666538 | val_loss=0.668059 | train_acc=0.6183 | val_acc=0.6667
Epoch 003 | train_loss=0.655444 | val_loss=0.656876 | train_acc=0.6271 | val_acc=0.6667
Epoch 004 | train_loss=0.644624 | val_loss=0.645990 | train_acc=0.6396 | val_acc=0.6767
Epoch 005 | train_loss=0.634081 | val_loss=0.635405 | train_acc=0.6538 | val_acc=0.6833
Epoch 006 | train_loss=0.623818 | val_loss=0.625122 | train_acc=0.6621 | val_acc=0.6867
Epoch 007 | train_loss=0.613838 | val_loss=0.615142 | train_acc=0.6783 | val_acc=0.6967
Epoch 008 | train_loss=0.604142 | val_loss=0.605467 | train_acc=0.6875 | val_acc=0.7000
Epoch 009 | train_loss=0.594731 | val_loss=0.596095 | train_acc=0.6988 | val_acc=0.7033
Epoch 010 | train_loss=0.585605 | val_loss=0.587025 | train_acc=0.7067 | val_acc=0.7133
Epoch 011 | train_loss=0.576764 | val_loss=0.578257 | train_acc=0.7154 | val_acc=0.7233
Epoch 012 | train_loss=0.568205 | val_loss=0.569787 | train_acc=0.7200 | val_acc=0.7267
Epoch 013 | train_loss=0.559928 | val_loss=0.561613 | train_acc=0.7267 | val_acc=0.7367
Epoch 014 | train_loss=0.551929 | val_loss=0.553732 | train_acc=0.7312 | val_acc=0.7400
Epoch 015 | train_loss=0.544206 | val_loss=0.546138 | train_acc=0.7371 | val_acc=0.7400
Epoch 016 | train_loss=0.536754 | val_loss=0.538829 | train_acc=0.7425 | val_acc=0.7433
Epoch 017 | train_loss=0.529569 | val_loss=0.531798 | train_acc=0.7479 | val_acc=0.7533
Epoch 018 | train_loss=0.522647 | val_loss=0.525041 | train_acc=0.7533 | val_acc=0.7633
Epoch 019 | train_loss=0.515983 | val_loss=0.518551 | train_acc=0.7583 | val_acc=0.7767
Epoch 020 | train_loss=0.509571 | val_loss=0.512322 | train_acc=0.7650 | val_acc=0.7800
Epoch 021 | train_loss=0.503405 | val_loss=0.506348 | train_acc=0.7700 | val_acc=0.7867
Epoch 022 | train_loss=0.497479 | val_loss=0.500620 | train_acc=0.7771 | val_acc=0.7933
Epoch 023 | train_loss=0.491787 | val_loss=0.495132 | train_acc=0.7808 | val_acc=0.7933
