Running linear probe for: energy_first
Experiment: energy_first
Checkpoint: ./energy_first/checkpoints/best.pt
Data directory: ./colliderml-data
Output directory: classifier_output/energy_first
Epoch 001 | train_loss=0.574173 | val_loss=0.550507 | train_acc=0.7350 | val_acc=0.7667
Epoch 002 | train_loss=0.563602 | val_loss=0.541239 | train_acc=0.7429 | val_acc=0.7700
Epoch 003 | train_loss=0.553479 | val_loss=0.532371 | train_acc=0.7592 | val_acc=0.7733
Epoch 004 | train_loss=0.543802 | val_loss=0.523891 | train_acc=0.7675 | val_acc=0.7767
Epoch 005 | train_loss=0.534564 | val_loss=0.515789 | train_acc=0.7788 | val_acc=0.7800
Epoch 006 | train_loss=0.525754 | val_loss=0.508056 | train_acc=0.7862 | val_acc=0.7867
Epoch 007 | train_loss=0.517361 | val_loss=0.500681 | train_acc=0.7937 | val_acc=0.8067
Epoch 008 | train_loss=0.509371 | val_loss=0.493655 | train_acc=0.8008 | val_acc=0.8133
Epoch 009 | train_loss=0.501773 | val_loss=0.486966 | train_acc=0.8058 | val_acc=0.8200
Epoch 010 | train_loss=0.494550 | val_loss=0.480602 | train_acc=0.8117 | val_acc=0.8267
Epoch 011 | train_loss=0.487687 | val_loss=0.474549 | train_acc=0.8129 | val_acc=0.8233
Epoch 012 | train_loss=0.481167 | val_loss=0.468795 | train_acc=0.8200 | val_acc=0.8333
Epoch 013 | train_loss=0.474973 | val_loss=0.463326 | train_acc=0.8238 | val_acc=0.8333
Epoch 014 | train_loss=0.469088 | val_loss=0.458129 | train_acc=0.8258 | val_acc=0.8333
Epoch 015 | train_loss=0.463495 | val_loss=0.453192 | train_acc=0.8267 | val_acc=0.8333
Epoch 016 | train_loss=0.458178 | val_loss=0.448504 | train_acc=0.8292 | val_acc=0.8333
Epoch 017 | train_loss=0.453122 | val_loss=0.444053 | train_acc=0.8308 | val_acc=0.8400
Epoch 018 | train_loss=0.448314 | val_loss=0.439829 | train_acc=0.8329 | val_acc=0.8433
Epoch 019 | train_loss=0.443740 | val_loss=0.435822 | train_acc=0.8350 | val_acc=0.8433
Epoch 020 | train_loss=0.439388 | val_loss=0.432021 | train_acc=0.8338 | val_acc=0.8467
Epoch 021 | train_loss=0.435246 | val_loss=0.428418 | train_acc=0.8371 | val_acc=0.8533
Epoch 022 | train_loss=0.431303 | val_loss=0.425002 | train_acc=0.8408 | val_acc=0.8500
Epoch 023 | train_loss=0.427549 | val_loss=0.421764 | train_acc=0.8421 | val_acc=0.8533
Epoch 024 | train_loss=0.423974 | val_loss=0.418696 | train_acc=0.8438 | val_acc=0.8567
Epoch 025 | train_loss=0.420568 | val_loss=0.415789 | train_acc=0.8458 | val_acc=0.8567
Epoch 026 | train_loss=0.417323 | val_loss=0.413034 | train_acc=0.8471 | val_acc=0.8567
Epoch 027 | train_loss=0.414230 | val_loss=0.410424 | train_acc=0.8487 | val_acc=0.8600
Epoch 028 | train_loss=0.411281 | val_loss=0.407949 | train_acc=0.8500 | val_acc=0.8600
Epoch 029 | train_loss=0.408469 | val_loss=0.405603 | train_acc=0.8504 | val_acc=0.8633
Epoch 030 | train_loss=0.405786 | val_loss=0.403379 | train_acc=0.8504 | val_acc=0.8633
Epoch 031 | train_loss=0.403226 | val_loss=0.401270 | train_acc=0.8508 | val_acc=0.8633
Epoch 032 | train_loss=0.400783 | val_loss=0.399270 | train_acc=0.8512 | val_acc=0.8633
Epoch 033 | train_loss=0.398450 | val_loss=0.397371 | train_acc=0.8512 | val_acc=0.8633
Epoch 034 | train_loss=0.396221 | val_loss=0.395569 | train_acc=0.8500 | val_acc=0.8633
Epoch 035 | train_loss=0.394092 | val_loss=0.393859 | train_acc=0.8508 | val_acc=0.8633
